Titulo,Sinopsis,Año,Episodios,Calificacion,Genero,Temporadas,info_episodios
The Great,"The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con el reinado más largo de la historia de Rusia. Una historia muy moderna sobre el pasado.",2020 - 2021,18,SAM16,"COMEDIA, DRAMA",2,"[{'Titulo': 'La Grande', 'Sinopsis': 'Catalina viaja a Rusia a casarse con el emperador. Tras volverse emperatriz, ve que Pedro es un malcriado egoísta. Se siente desesperada hasta que su sirviente,', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 52, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Una Barba Falsa', 'Sinopsis': 'Catalina da el primer paso hacia un golpe. Siguiendo el consejo de Marial, trata de seducir y reclutar al conde Orlo, un intelectual del palacio. Es un desastre, pero', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 55, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Y usted, señor, no es ningún Pedro El Grande', 'Sinopsis': 'Catalina, Orlo y Marial continúan planeando su golpe. Al notar la desdicha de Catalina, Pedro le regala un amante estéril, Leo. Al principio ella duda, pero Leo logra', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 51, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'La Mula de Moscú', 'Sinopsis': 'Catalina trata de manejar su reputación en la corte y su relación con Leo. Un influyente patriarca de la iglesia muere. Orlo trata de influenciar la elección de Pedro', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 51, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Guerra y Vómito', 'Sinopsis': 'Mientras la guerra contra Suecia continúa, Catalina y la tía Elizabeth visitan al ejército en el frente ruso. Grigor tiene problemas con la relación de Pedro y', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 49, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Paracaídas', 'Sinopsis': 'Tras casi morir, Pedro está abierto a las ideas progresistas de Catalina y quiere enfocarse en un heredero. Orlo intenta averiguar quién envenenó a Pedro y enfrenta', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 54, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Viruela en la esperanza', 'Sinopsis': 'Catalina se siente optimista, hasta que un brote de viruela hace que Pedro vuelva a sus viejas costumbres. Mientras tanto, la relación de Leo y Catalina sufre y', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 50, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Albóndigas en la dacha', 'Sinopsis': 'Las habilidades políticas de Catalina son puestas a prueba cuando se le da la oportunidad de viajar al extranjero. Leo quiere dejar la corte. Marial le cuenta del', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 50, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'El amor duele', 'Sinopsis': 'Descubren un cuerpo. Pedro decide torturar a todo el palacio para hallar a los traidores asesinos. Marial le confiesa a Archie los planes de Catalina. Catalina', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 53, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'La nariz del castor', 'Sinopsis': 'Catalina avanza con el golpe. Marial la traiciona al contarle a Pedro que está embarazada. Catalina se da cuenta de que la única forma de lograr una mejor Rusia es', 'Temporada': 1, 'Año': 2020, 'Duracion(min)': 50, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Usa la cabeza', 'Sinopsis': '4 meses después de que lanzara un golpe contra su marido, una Catherine embarazada se impone en su guerra contra Peter.', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 52, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Idiota', 'Sinopsis': 'Catalina, Orlo y Velementov comienzan a gobernar Rusia y aparecen obstáculos inesperados.', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 54, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Solos al fin', 'Sinopsis': 'El dolor de Catherine por la pérdida de Leo durante el golpe de estado finalmente la alcanza.', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 53, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'El almuerzo del diablo', 'Sinopsis': 'El embajador otomano visita a Catherine mientras las tensiones entre las regiones se disparan.', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 50, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Instintos animales', 'Sinopsis': 'Un cocodrilo merodea por la corte, y Archie provoca el alboroto de todos al sugerir que podría ser un presagio contra el liderazgo de Catherine.', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 56, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Una broma inocente', 'Sinopsis': 'Catherine se frustra por la falta de cambios en su gobierno de Rusia. Para sacudir a la corte de su complacencia, les gasta una broma con un sirviente para demostrar', 'Temporada': 2, 'Año': 2021, 'Duracion(min)': 51, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}]"
The Act,"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas historias detrás de actos criminales verdaderos.",2019,8,SAM16,"DOCUDRAMA, DRAMA",1,"[{'Titulo': 'La Maison du Bon Reve', 'Sinopsis': 'La atenta madre Dee Dee Blanchard y su dulce hija Gypsy llegan a una nueva ciudad, donde Gypsy se siente sola por una gran cantidad de problemas médicos y está', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 52, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Los dientes', 'Sinopsis': 'Dee Dee está supercontenta, ya que van a concederle a Gypsy el premio a la ""Mejor Niña del Año"", lo cual hace que Dee De se sienta como la Mamá del Año. Pero antes del', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 54, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Dos Wolverines', 'Sinopsis': 'Dee Dee obliga a Gypsy a disfrazarse para un evento de disfraces, en el que las dos captan la atención de unos encantadores hombres que podrían poner en riesgo el', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 52, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Plan B', 'Sinopsis': 'Gypsy y Nick planean verse en persona y esperan ganarse la aceptación de Dee Dee, pero cuando su plan sale horriblemente mal, se verán obligados a tomar una decisión', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 57, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Un mundo ideal', 'Sinopsis': 'Mientras que Gypsy y Nick están desaparecidos, unos flashbacks de una Dee Dee muy joven revelan que el trauma con su propia madre dio lugar a sus problemas con Gypsy.', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 47, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Bonnie y Clyde', 'Sinopsis': 'Gypsy está emocionada por empezar de cero con Nick en Wisconsin, pero su nueva vida no se corresponde con el final feliz que había imaginado y su ansiedad empeora', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 47, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}, {'Titulo': 'Libre', 'Sinopsis': 'Gypsy lucha por su vida defendiendo sus acciones, mientras que Mel y Lacey se dan cuenta de que tras puertas cerradas las cosas no son siempre lo que parecen.', 'Temporada': 1, 'Año': 2019, 'Duracion(min)': 59, 'Calificacion': 'SAM16', 'Sonido': 'SONIDO ENVOLVENTE 5.1'}]"
