Titulo,Sinopsis,Año,Duracion(min),Calificacion,Genero,Sonido
Lo que pasó recién,Un desesperado productor de películas intenta revivir su carrera moribunda y mantener su dignidad mientras lucha por lograr realizar su película durante un lapso de dos semanas.,2008,103,SAM16,"COMEDIA, DRAMA",ESTÉREO
La La Land: Una historia de amor,"Emma Stone y Ryan Gosling la protagonizan como Mia y Sebastian, una actriz y un músico de jazz que buscan alcanzar sus sueños en Hollywood y se encuentran uno al otro en una animada celebración de esperanza, sueños y amor.",2016,127,SAM13,"COMEDIA, DRAMA",SONIDO ENVOLVENTE 5.1
Más fuerte que el destino,"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame explosión de bomba del Maratón de Boston del 2013.",2017,118,SAM16,DRAMA,SONIDO ENVOLVENTE 5.1
Jigsaw: El juego continúa,"Cadáveres se han estado apareciendo por toda la ciudad. Conforme la investigación avanza, las evidencias indican hacia un hombre: John Kramer. Pero ¿cómo puede ser esto? El hombre conocido como Jigsaw ha estado muerto por más de diez años.",2017,91,SAM16,DE TERROR,SONIDO ENVOLVENTE 5.1
Asesino: Misión venganza,"Stan Hurley, un veterano de la Guerra Fría, recluta y entrena a Mitch Rapp, cuya novia murió en un ataque terrorista. Con la colaboración de una letal agente turca, los tres deberán detener a un grupo terrorista antes de que inicien una guerra",2017,111,SAM16,ACCIÓN,SONIDO ENVOLVENTE 5.1
Father Figures,"Dos hermanos mellizos crecieron pensando que su padre había muerto, pero descubren que está vivo y emprenden un viaje para encontrarlo. No será sencillo, ya que su madre se acostó con muchos hombres poderosos y famosos en la década de 1970.",2017,112,SAM16,COMEDIA,SONIDO ENVOLVENTE 5.1
El árbol de Navidad,"Cuando la chica de la gran ciudad (Lacey Chabert) regresa para salvar la el vivero de árboles de su infancia, tal vez puede redescubrir más de lo que quería, incluyendo a su amor verdadero.",2014,87,ATP,"NAVIDEÑA, DRAMA",ESTÉREO
Venganza letal,"Un expresidiario tiene un único deseo: vengar el asesinato de su hermano, cometido durante un robo a un banco.",2010,97,SAM16,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
La Cumbre Escarlata,"Cuando un extraño seductor le roba el corazón, una joven mujer se deja llevar hasta una casa en la cima de una montaña de arcilla color rojo sangre, un lugar lleno de secretos que la perseguirán por siempre.",2015,118,SAM16,"DRAMA, DE TERROR",SONIDO ENVOLVENTE 5.1
El Karate Kid,"Un adolescente aprende sobre la vida, la amistad y el coraje bajo la guía de un maestro de artes marciales.",1984,126,ATP,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
Dune,Ésta es la saga del guerrero Intergaláctico Paul Atreides y su ascenso mesiánico para conducir a su pueblo en su lucha por la supervivencia.,1984,136,SAM13,"DE CULTO, DRAMA",ESTÉREO
El Justiciero,Un ex-comando sale del retiro y pone sus habilidades especiales a trabajar para rescatar a una chica que está bajo el control de unos criminales rusos. What do you see when you look at me? Basada en la serie de televisión.,2014,131,SAM16,"ACCIÓN, DRAMA",SONIDO ENVOLVENTE 5.1
El duende 2,"Hace mil años, un duende malvado se frustra al intentar atrapar a una joven novia. Ahora, en 1994 en Los Ángeles, el duende está decidido a tomar a la hermosa descendiente de la mujer como su novia y dejará un rastro de carnicería haciéndolo.",1994,85,SAM16,"COMEDIA, FANTASÍA",ESTÉREO
The Grudge 2,Una joven mujer (Amber Tamblyn) descubre una terrible maldición mientras busca a su hermana (Sarah Michelle Gellar) desaparecida en Tokio.,2006,102,SAM13,"DE TERROR, SUSPENSO",ESTÉREO
Pandillas de Nueva York,"Tras años de encarcelamiento, el joven inmigrante irlandés Amsterdam Vallon (Leonardo DiCaprio) regresa, buscando venganza contra el líder de la pandilla rival que asesinó a su padre, William Cutting alias ""Bill el Carnicero"".",2002,166,SAM16,"CRIMEN, DRAMA",SONIDO ENVOLVENTE 5.1
Jerry Maguire: Amor y desafio,"Tom Cruise hace su mejor actuación hasta la fecha (Neil Rosen, NY-1) como representante deportivo que de repente descubre sus escrúpulos y en consecuencia pierde su trabajo.",1996,138,SAM13,"COMEDIA ROMÁNTICA, COMEDIA",SONIDO ENVOLVENTE 5.1
Halloween III: El imperio de las brujas,Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.,1982,97,SAM16,"DE TERROR, MISTERIO",ESTÉREO
A conseguir trabajo,"Cuando Will se queda sin trabajo y a Jillian la despiden, la joven pareja y sus amigos deben soportar la humillación pública, novatadas y pruebas de dopaje sorpresa para poder iniciar sus carreras como principiantes.",2016,82,SAM13,"COMEDIA, COMEDIA ROMÁNTICA",SONIDO ENVOLVENTE 5.1
Empire State el gran robo del Bronx,"Un guardia de seguridad es convencido por su imprudente mejor amigo de robar la compañía para la cual trabaja, junto a una violenta banda criminal y un duro detective en su camino...¿Podrán escaparse de la cárcel o de un destino peor?",2013,94,SAM16,"ACCIÓN, CRIMEN",ESTÉREO
Rendirse jamás,"Un adolescente rebelde ingresa a una nueva escuela, donde se ve envuelto en la escena de la lucha clandestina. Ayudado por un especialista en artes marciales mixtas, se prepara para asumir su mayor desafío hasta ahora.",2008,113,SAM13,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
No Hay Nada Como las Fiestas,Los distantes miembros de la familia Rodriguez se unen en la casa de sus padres para enfrentar lo que podría ser su última Navidad juntos en esta conmovedora comedia navideña.,2008,98,SAM13,"NAVIDEÑA, COMEDIA",ESTÉREO
La redada,"En el corazón de la poblada ciudad de Jakarta está el escondite de una pandilla de traficantes. Antes de amanecer un escuadrón de S.W.A.T llega para atrapar al líder, pero cuando la noticia de la redada se esparce, los habitantes del edificio no se detendrán para impedir el asalto y el escuadrón deberá encontrar la salida en la misión más mortal que jamás hayan tenido",2012,101,SAM16,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
Enemigo invisible,"La coronel Katherine Powell dirige una misión secreta de drones para capturar a un grupo de terroristas que vive en una casa de seguridad en Narobi, Kenia. La situación escala de nivel cuando el piloto del drone se dirige a atacar se percata que una niña de 9 años entra en la zona de muerte. Powell contacta a sus superiores para tomar la dificil desición de seguir o detener la operación.",2016,102,SAM16,"DRAMA, MISTERIO/SUSPENSO",SONIDO ENVOLVENTE 5.1
De Tyler Perry: Las niñas de papá,"Una historia opuesta a la de Cenicienta, en la que una exitosa abogada (Union) se enamora de un mecánico (Elba) con problemas financieros y padre soltero de tres niñas.",2007,100,SAM13,"DRAMA, ROMÁNTICA",ESTÉREO
Belly,Dos mafiosos tienen una epifanía.,1998,95,SAM16,"CRIMEN, DRAMA",ESTÉREO
Anna Karenina,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor.",2012,129,SAM16,"DRAMA, ROMÁNTICA",SONIDO ENVOLVENTE 5.1
La última puerta,Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.,1999,133,SAM16,"SOBRENATURAL, ACCIÓN",ESTÉREO
Baile caliente,"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se enamoran a pesar de las advertencias de todos.",1987,100,SAM13,"DANZA, DRAMA",ESTÉREO
Una esposa de mentira,Un hombre recurre a una mujer y a sus hijos para conquistar a la mujer de sus sueños.,2011,116,SAM13,"COMEDIA, ROMÁNTICA",SONIDO ENVOLVENTE 5.1
Caracortada,"Cuando Fidel Castro abrió la frontera para que los cubanos que tuviesen familia en Miami pudieran salir, 125 mil personas salieron de Cuba con sueños de libertad y de una nueva vida.",1983,169,SAM16,"ACCIÓN, CRIMEN",ESTÉREO
Noche de brujas,"En Halloween, Michael Myers aterroriza a una adolescente y sus amigos.",1978,91,SAM16,DE TERROR,ESTÉREO
Cubos,"Un grupo de seis completos extraños, de personalidades y orígenes muy variados, son puestos involuntariamente en un laberinto interminable que contiene trampas mortales. Sin recordar cómo llegaron al laberinto, deben encontrar una salida.",1997,90,SAM16,"DRAMA, FANTASÍA",ESTÉREO
Capitán Phillips,El capitán Richard Phillips intenta escapar de piratas armados somalíes mientras que la Marina de los Estados Unidos trata de rescatarlo.,2013,134,SAM13,"DRAMA, HISTORIA REAL",SONIDO ENVOLVENTE 5.1
American Pie: Tu primera vez,"¡Jamás volverá a ver un pastel de manzana igual! ""American Pie"" es una visión histérica de la meta de cuatro amigos de secundaria ""desafortunados en el amor"" que hacen el pacto final: perder la virginidad la noche del baile de graduación.",1999,95,SAM16,"COMEDIA, COMEDIA ROMÁNTICA",SONIDO ENVOLVENTE 5.1
Al borde del abismo,"Un ex policía, recientemente liberado de prisión, está parado en la cornisa de un edificio, amenazando con saltar. Mientras tanto, un enorme robo de joyas se está llevando a cabo cerca ¿hay más en la historia de lo que se ve a simple vista?",2012,102,SAM13,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
Un Santa No Tan Santo,"Willie, un Santa acabado y bromista de un centro comercial que sólo trabaja por las oportunidades criminales. Este año, Santa y su elfo ven su asalto anual en peligro debido a un inadaptado de ocho años quien decide creer que Willie es el Santa verdadero.",2003,99,SAM16,"NAVIDEÑA, COMEDIA",SONIDO ENVOLVENTE 5.1
Cuenta regresiva,"Un maestro abre una cápsula del tiempo que ha sido desenterrada en la escuela primaria de su hijo, en ella hay algunas predicciones escalofriantes, algunas que ya han ocurrido y otras que están a punto de ocurrir, que le llevan a creer que su familia juega un papel en los acontecimientos que están a punto de desarrollarse.",2009,121,SAM13,"ACCIÓN, DRAMA",ESTÉREO
La Guardería de Papá,"Cuando los ejecutivos publicitarios Charlie y Phil pierden su trabajo intentando vender un cereal de desayuno con sabor a verduras, se convierten en los propietarios de la guardería Papá Canguro.",2003,92,ATP,"COMEDIA, FAMILIAR",SONIDO ENVOLVENTE 5.1
Xxx 2: Estado de emergencia,"En esta secuela llena de acción del éxito de taquilla xXx, Ice Cube interpreta a Darius Stone, un alborotador que busca emoción cuyos antecedentes penales y su obsesión por los deportes extremos lo convierten en el agente xXx más reciente.",2005,100,SAM16,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
Una vida por delante,"Un ranchero (Robert Redford) de Wyoming le da refugio a su sufrida nuera (Jennifer Lopez), cuyas heridas tardan un buen tiempo en sanar.",2005,107,SAM13,"DRAMA, FAMILIAR",ESTÉREO
Mi nombre es Tsotsi,"Un criminal convertido en asesino se da cuenta de que la mujer que asesinó dejó un bebé en el asiento trasero de su coche, y pronto se vuelve más apegado a él de lo que nunca pensó posible.",2005,94,SAM16,"CRIMEN, DRAMA",ESTÉREO
Crank: muerte anunciada,"Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y vengarse, Chev debe mantener su adrenalina elevada de cualquier manera posible.",2006,87,SAM16,"ACCIÓN, DRAMA",SONIDO ENVOLVENTE 5.1
Peligro en Bangkok,"Joe (Nicolas Cage) es un asesino profesional que llega a Bangkok para atender algunos asuntos. Inesperadamente se encuentra entrenando a una joven alumna. Luego, se enamora de una mujer que no tiene conocimiento de su verdadero trabajo.",2008,99,SAM16,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
Educación básica,"Bienvenidos a la escuela primaria Geraldine Ferraro, donde los maestros están borrachos, son perezosos o psicóticos, todos los niños están abandonados y el vicedirector agotado Tom Willoman apenas resiste. Pero cuando la inspectora del distrito Rebecca Seabrook, cierra la escuela, ella y Tom diseñan un plan para recuperar las aulas del increíblemente corrupto director Billings.",2008,94,SAM16,COMEDIA,ESTÉREO
Plan de escape,"Ray Breslin, una de las principales autoridades del mundo en materia de seguridad estructural, acepta asumir un trabajo poco ortodoxo: salir de una instalación ultra secreta y de alta tecnología llamada la Tumba. Cuando acepta, se inserta en la prisión más secreta y segura del mundo, y necesitará la ayuda de un compañero preso llamado Emil Rottmayer.",2013,115,SAM16,ACCIÓN,SONIDO ENVOLVENTE 5.1
Rudo y Cursi : La vida es un volado,Los hermanos Beto (Diego Luna) y Tato (Gael García Bernal) Verdusco trabajan en un rancho platanero y juegan futbol en el equipo de su pueblo.,2008,101,SAM16,"COMEDIA, DRAMA",SONIDO ENVOLVENTE 5.1
Crepúsculo la saga: Luna Nueva,"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían ser algo más.",2009,130,SAM13,"DE AVENTURAS, DRAMA",SONIDO ENVOLVENTE 5.1
"Crepúsculo, la saga: Eclipse","Mientras una serie de misteriosos asesinatos se apodera de Seattle, Bella, cuya graduación de secundaria se acerca rápidamente, se ve obligada a elegir entre su amor por el vampiro Edward y su amistad con el hombre lobo Jacob.",2010,123,SAM13,"DE AVENTURAS, DRAMA",SONIDO ENVOLVENTE 5.1
RED: Retirados Extremadamente Duros,"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del misterioso enemigo.",2010,111,SAM13,"ACCIÓN, COMEDIA",SONIDO ENVOLVENTE 5.1
Dura verdad,"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan recuperar un maletín misterioso.",2012,93,SAM13,"ACCIÓN, MISTERIO/SUSPENSO",ESTÉREO
Red 2,"El ex agente de la CIA Frank Moses y su equipo de desafortunados héroes regresan para otra misión arriesgada, esta vez con la tarea de encontrar un arma nuclear peligrosa.",2013,115,SAM13,"ACCIÓN, COMEDIA",SONIDO ENVOLVENTE 5.1
Son como niños 2,"La secuela de Son como niños. Después de mudarse con su familia de regreso a su ciudad natal para estar con sus amigos y sus hijos, Lenny, descubre que entre los antiguos y los nuevos bravucones,conductores de autobús esquizofrénicos, policías borrachos sobre esquís y 400 colados a una fiesta de disfraces, a veces ocurren situaciones locas.",2013,100,SAM13,"SECUELA, COMEDIA",SONIDO ENVOLVENTE 5.1
Los juegos del hambre: Sinsajo - El final,"Jennifer Lawrence interpreta a Katniss Everdeen, que comenzó su viaje luchando por sobrevivir a los despiadados Juegos del Hambre, y dirigió la rebelión contra el tiránico presidente de Panem (Donald Sutherland).",2015,136,SAM13,"ACCIÓN, CIENCIA FICCIÓN",SONIDO ENVOLVENTE 5.1
Crepúsculo la saga: Amanecer – Parte 2,"En el quinto y último capítulo de la saga de Crepúsculo, el nacimiento del hijo de Bella y Edward enciende las fuerzas que amenazan con destruirlos a todos. Ahora, los Cullen deben conseguir la ayuda de amigos lejanos y antiguos enemigos, incluyendo la manada de lobos de Jacob, mientras las tensiones parecen dirigirse hacia una guerra total en la emocionante conclusión del fenómeno épico.",2012,115,SAM13,"DE AVENTURAS, DRAMA",ESTÉREO
Divergente,"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la verdad sobre sí misma.",2014,139,SAM13,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
Decisión final,"En el día del Draft de la NFL, el gerente general de los Cafés de Cleveland debe decidir que es lo que está dispuesto a sacrificar mientras busca al seleccionado número uno.",2014,109,SAM13,"DRAMA, DEPORTES",ESTÉREO
Divergente la serie: Insurgente,"Los fugitivos Tris y Four buscan aliados y respuestas entre las ruinas de Chicago mientras tratan de evadir desesperadamente a Jeanine, líder de los Eruditos. Basada en la novela de Veronica Roth",2015,118,SAM13,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
El grito 3,Un doctor (Shawnee Smith) necesita la ayuda de una misteriosa mujer japonesa para combatir a dos fantasmas vengativos.,2009,90,SAM16,"DE TERROR, MISTERIO",ESTÉREO
Fenómeno siniestro 2,"Un año después de que un equipo de filmación pasara una noche fatal en el Hospital Psiquiátrico Collingwood, un nuevo equipo vuelve a los pasillos en busca de la verdad. Es decir, si queda alguien vivo para contarlo.",2012,99,SAM16,DE TERROR,ESTÉREO
