Titulo,Sinopsis,Año,Duracion(min),Calificacion,Genero,Sonido
El contratista,"Elizabeth Chase es una esposa comprensiva y una madre amorosa. Su trabajo en uno de los principales hospitales infantiles de Los Ángeles la tiene bastante ocupada estos días. Además, la crianza de su hija McKenzie, consume todo su tiempo.",2013,88,SAM13,SUSPENSO,SONIDO ENVOLVENTE 5.1
Ladrones,El legendario ladrón Alejandro Toledo regresa a sus raíces con un nuevo socio para reclamar tierras robadas a una comunidad humilde por una despiadada familia de ladrones.,2015,97,SAM13,"ACCIÓN, COMEDIA",SONIDO ENVOLVENTE 5.1
Power Rangers,Saban’s Power Rangers cuenta la historia de cinco adolescentes de lo más ordinario que deben convertirse en algo extraordinario al enterarse que su pueblito de Angel Grove – y el mundo – están a punto de ser aniquilados por una amenaza extraterrestre.,2017,123,SAM13,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
¡Competencia en la cocina!,Una madre soltera que sueña con una vida mejor y ama cocinar encuentra el camino al éxito cuando su hijo la insribe en una competencia de gastronomía.,2017,98,ATP,"COMEDIA, ROMÁNTICA",SONIDO ENVOLVENTE 5.1
El castillo de cristal,"Aventuras extravagantes de una familia resiliente y unida encabezan El castillo de cristal, una extraordinaria historia de amor incondicional.",2017,126,SAM13,DRAMA,SONIDO ENVOLVENTE 5.1
Una Navidad a la moda real,"Kristin Cooper, la guapa y talentosa asistente de una firma global de relaciones públicas, es puesta a cargo del Desfile de Moda y Subasta Navideña anual para el empresario de ropa, Sr. Carson.",2018,86,ATP,"NAVIDEÑA, COMEDIA",SONIDO ENVOLVENTE 5.1
UNA BODA PARA NAVIDAD,Haley Foster escapó de su infancia en un pequeño pueblo en Pineridge y construyó una gran vida en la ciudad de Los Ángeles como una de las mejores planificadoras de bodas en una poderosa compañía de elite dirigida por la Sra. Reynolds.,2018,88,ATP,"NAVIDEÑA, COMEDIA ROMÁNTICA",SONIDO ENVOLVENTE 5.1
Best F(r)iends: Volume Two,"Un vagabundo se hace amigo de un extravagante director de funeraria, y pronto, forman una sociedad, aunque una que poco tiene de comercial. La locura no tarda en surgir, pero estos hombres se verán forzados a sobrellevar las cosas a través de la amistad y la lealtad.",2018,93,SAM16,COMEDIA,SONIDO ENVOLVENTE 5.1
La maldición de Blackwood,"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas.",2018,96,SAM13,"DRAMA, FANTASÍA",SONIDO ENVOLVENTE 5.1
La maldición de la casa Winchester,"El bebé y el marido (William Wirt Winchester) de Sarah Winchester, heredera de la compañía de rifles Winchester, mueren repentinamente. Debido a ello, cree estar maldita por toda la muerte causada por los rifles, por lo que acude a una médium, quien le aconseja construirse una casa en San José, California, la cual nunca debe finalizarse, para que los espíritus que regresan no puedan hallarla.",2018,99,SAM13,"BIOGRÁFICA, FANTASÍA",SONIDO ENVOLVENTE 5.1
Golpe en londres,"Un atraco a un banco sale mal y alguien es asesinado, pero las cosas pueden no ser lo que parecen.",2017,95,SAM16,ACCIÓN,ESTÉREO
Si Solo Pudiera Imaginar,"Bart Millard es el líder de la banda cristiana MercyMe, que pierde a su padre por un cáncer. Este trágico suceso le inspira a escribir una canción que tiene gran éxito llamada I Can Only Imagine y en la que se inspira está dramática historia.",2018,110,ATP,"DRAMA, FAMILIAR",SONIDO ENVOLVENTE 5.1
Best F(r)iends: Volume 1,"El dúo dinámico detrás de THE ROOM y THE DISASTER ARTIST (Tommy Wiseau y Greg Sestero) vuelven a encontrarse después de 15 años en este nuevo clásico de culto. Cuando un vagabundo (Sestero) se hace amigo del extravagante encargado de una funeraria (Wiseau), se forma una rara sociedad comercial. Esto pronto da lugar a la paranoia, y ambos deberán aceptar la fragilidad de la amistad y la lealtad.",2018,103,SAM16,COMEDIA,SONIDO ENVOLVENTE 5.1
Testigo de cargo,"La historia está ambientada en el Londres de la década de 1920 y se centra en un asesinato, ""brutal y sanguinario"", que ha ""manchado las lujosas alfombras de una hermosa casa de Londres"".",2017,117,SAM16,"CRIMEN, DRAMA",SONIDO ENVOLVENTE 5.1
El legado,"Un exconvicto recientemente liberado y su hermano menor, adoptivo, se ven obligados a huir. Al ser perseguidos por un criminal vengativo, los federales y un grupo de soldados de otro mundo, encontraron su única protección: un arma de ascendenciamisteriosa.",2018,102,SAM13,"ACCIÓN, CIENCIA FICCIÓN",SONIDO ENVOLVENTE 5.1
Navidad empaquetada,"Candace Cameron Bure protagoniza Navidad empaquetada, como la doctora Lauren Burnell que acepta una posición en Alaska después de perder a su novio y prestigioso compañero de cirugía, sólo para luego darse cuenta que es en un diminuto hospital en un pueblito.",2014,86,ATP,"NAVIDEÑA, DRAMA",ESTÉREO
Make your move,"Make your move trata de una joven bailarina coreana, Aya (BoA), que vive en Nueva York y dirige su grupo de baile femenino Cobu. Aya se enamora de Donny (Derek Hough), un valiente y atrevido bailarín que se muda de Nueva Orleans a Nueva York para ayudar a su hermanastro, Nick (Wesley Jonathan), a dirigir uno de los clubes de baile más populares de la ciudad.",2014,109,SAM13,"DRAMA, MUSICAL",ESTÉREO
Querido Santa Secreto,"Tatyana Ali estelariza en esta película llena de estrellas, incluyendo a Jordin Sparks, Ernie Hudson y Della Reese. ¡Es un reconfortante romance navideño!",2013,89,ATP,"NAVIDEÑA, DRAMA",ESTÉREO
Ranchero,"Este crudo drama estelarizado por Danny Trejo (MACHETE) sigue la vida de dos fracasados hombres de mediana edad y su batalla con las drogas, las pandillas y los sueños rotos en un miserable barrio de Los Ángeles.",2011,94,SAM16,DRAMA,ESTÉREO
"Posdata, te amo",Una viuda (Hilary Swank) apenada encuentra una serie de mensajes que le dejó su marido fallecido para ayudarle a disminuir su dolor y alentarla a iniciar una nueva vida por sí misma.,2007,125,SAM13,"COMEDIA, DRAMA",SONIDO ENVOLVENTE 5.1
Una Navidad a la medida,"Este año Steven acogerá a su familia durante la Navidad, por lo que contrata a una organizadora de eventos para que le ayude a planear su fiesta familiar.",2018,84,ATP,"NAVIDEÑA, FAMILIAR",SONIDO ENVOLVENTE 5.1
El sabotaje,"Un equipo de élite de la agencia antidroga norteamericana (DEA) aprovecha una operación contra un cártel para apoderarse de un botín de varios millones de dólares; poco después, alguien empieza a eliminar a los miembros del grupo para quedarse con todo el dinero.",2014,109,SAM16,"ACCIÓN, CRIMEN",SONIDO ENVOLVENTE 5.1
Ouija: El origen del mal,"En Ouija: El origen del mal, la secuela del éxito inesperado del 2014, un grupo de ilusos amigos debe confrontar sus más terribles miedos cuando desatan un mal del más allá que sólo ellos pueden mandar de regreso.",2016,98,SAM13,DE TERROR,SONIDO ENVOLVENTE 5.1
